explo,date,year,doy,PET
SCH,2006-08-30,2006,242,1.3
ALB,2006-08-30,2006,242,1.6
SCH,2006-08-31,2006,243,2.0
ALB,2006-08-31,2006,243,2.0
SCH,2006-09-01,2006,244,1.1
ALB,2006-09-01,2006,244,2.4
SCH,2006-09-02,2006,245,2.7
ALB,2006-09-02,2006,245,2.4
SCH,2006-09-03,2006,246,1.7
ALB,2006-09-03,2006,246,1.8
SCH,2006-09-04,2006,247,2.5
ALB,2006-09-04,2006,247,2.2
SCH,2006-09-05,2006,248,2.6
ALB,2006-09-05,2006,248,2.3
SCH,2006-09-06,2006,249,1.4
ALB,2006-09-06,2006,249,1.9
SCH,2006-09-07,2006,250,2.3
ALB,2006-09-07,2006,250,2.6
SCH,2006-09-08,2006,251,2.2
ALB,2006-09-08,2006,251,2.2
SCH,2006-09-09,2006,252,1.5
ALB,2006-09-09,2006,252,2.6
SCH,2006-09-10,2006,253,2.1
ALB,2006-09-10,2006,253,2.4
SCH,2006-09-11,2006,254,2.6
ALB,2006-09-11,2006,254,2.7
SCH,2006-09-12,2006,255,2.8
ALB,2006-09-12,2006,255,2.5
SCH,2006-09-13,2006,256,2.8
ALB,2006-09-13,2006,256,2.7
SCH,2006-09-14,2006,257,2.8
ALB,2006-09-14,2006,257,3.0
SCH,2006-09-15,2006,258,3.5
ALB,2006-09-15,2006,258,1.5
SCH,2006-09-16,2006,259,3.6
ALB,2006-09-16,2006,259,1.6
SCH,2006-09-17,2006,260,1.8
ALB,2006-09-17,2006,260,1.0
SCH,2006-09-18,2006,261,2.1
ALB,2006-09-18,2006,261,0.8
SCH,2006-09-19,2006,262,1.1
ALB,2006-09-19,2006,262,1.4
SCH,2006-09-20,2006,263,2.0
ALB,2006-09-20,2006,263,1.9
SCH,2006-09-21,2006,264,2.3
ALB,2006-09-21,2006,264,2.0
SCH,2006-09-22,2006,265,2.9
ALB,2006-09-22,2006,265,1.9
SCH,2006-09-23,2006,266,2.8
ALB,2006-09-23,2006,266,1.6
SCH,2006-09-24,2006,267,2.9
ALB,2006-09-24,2006,267,1.8
SCH,2006-09-25,2006,268,2.6
ALB,2006-09-25,2006,268,0.9
SCH,2006-09-26,2006,269,2.2
ALB,2006-09-26,2006,269,1.0
SCH,2006-09-27,2006,270,0.5
ALB,2006-09-27,2006,270,0.5
SCH,2006-09-28,2006,271,1.1
ALB,2006-09-28,2006,271,0.4
SCH,2006-09-29,2006,272,1.7
ALB,2006-09-29,2006,272,1.1
SCH,2006-09-30,2006,273,1.5
ALB,2006-09-30,2006,273,1.4
SCH,2006-10-01,2006,274,1.0
ALB,2006-10-01,2006,274,1.1
SCH,2006-10-02,2006,275,1.1
ALB,2006-10-02,2006,275,0.9
SCH,2006-10-03,2006,276,1.0
ALB,2006-10-03,2006,276,1.8
SCH,2006-10-04,2006,277,0.7
ALB,2006-10-04,2006,277,0.9
SCH,2006-10-05,2006,278,0.8
ALB,2006-10-05,2006,278,1.0
SCH,2006-10-06,2006,279,1.1
ALB,2006-10-06,2006,279,0.7
SCH,2006-10-07,2006,280,1.0
ALB,2006-10-07,2006,280,1.3
SCH,2006-10-08,2006,281,0.9
ALB,2006-10-08,2006,281,1.1
SCH,2006-10-09,2006,282,1.3
ALB,2006-10-09,2006,282,1.3
SCH,2006-10-10,2006,283,0.8
ALB,2006-10-10,2006,283,1.0
SCH,2006-10-11,2006,284,0.7
ALB,2006-10-11,2006,284,1.2
SCH,2006-10-12,2006,285,0.7
ALB,2006-10-12,2006,285,1.4
SCH,2006-10-13,2006,286,0.3
ALB,2006-10-13,2006,286,0.8
SCH,2006-10-14,2006,287,0.2
ALB,2006-10-14,2006,287,0.6
SCH,2006-10-15,2006,288,0.3
ALB,2006-10-15,2006,288,0.7
SCH,2006-10-16,2006,289,0.2
ALB,2006-10-16,2006,289,0.8
SCH,2006-10-17,2006,290,0.9
ALB,2006-10-17,2006,290,0.8
SCH,2006-10-18,2006,291,1.0
ALB,2006-10-18,2006,291,0.9
SCH,2006-10-19,2006,292,0.9
ALB,2006-10-19,2006,292,1.3
SCH,2006-10-20,2006,293,0.3
